Price,Condition,PropertyType,PropertySubType,Bedrooms,Bathrooms,AreaNet,AreaGross,Parking,Latitude,Longitude,Parish,Price_Sq._M.
198000,Used,Homes,Apartment,3,1,76,152,0,38.7792,-9.1186,Olivais,2463
1270000,Used,Homes,Duplex,5,3,190,380,0,38.7056,-9.1784,Alcantara,3125
140000,Used,Homes,Apartment,1,1,26,52,0,38.7058,-9.1639,Estrela,4005
995000,Used,Homes,Apartment,5,4,185,370,0,38.7466,-9.164,Sao_Domingos_de_Benfica,3412
570000,Used,Homes,Apartment,7,1,150,300,0,38.7323,-9.1287,Arroios,3277
425000,Used,Homes,Apartment,3,2,95,190,0,38.6965,-9.2099,Belem,3542
130000,Used,Homes,Apartment,3,1,76,152,0,38.7544,-9.1129,Marvila,2881
215000,Used,Homes,Apartment,3,1,81,162,0,38.7561,-9.1796,Sao_Domingos_de_Benfica,3412
196000,Used,Homes,Apartment,2,1,58,116,0,38.7792,-9.1186,Olivais,2463
925000,Used,Homes,Apartment,5,3,286,572,0,38.7632,-9.1687,Lumiar,2927
170000,Used,Homes,Apartment,2,1,68,136,0,38.7449,-9.1209,Marvila,2881
440000,Used,Homes,Apartment,3,2,97,194,0,38.7077,-9.2059,Belem,3542
235000,Used,Homes,Apartment,2,2,72,144,0,38.7122,-9.1299,Santa_Maria_Maior,4807
565000,Used,Homes,Apartment,3,2,120,240,0,38.7796,-9.0938,Parque_das_Nacoes,4162
217000,Used,Homes,Apartment,1,1,65,130,0,38.7807,-9.1628,Santa_Clara,2393
450000,Used,Homes,Apartment,4,2,137,274,0,38.7463,-9.1439,Alvalade,3623
115000,Used,Homes,Apartment,1,1,63,126,0,38.7269,-9.1649,Campolide,3036
490000,Used,Homes,Apartment,2,1,70,140,0,38.7102,-9.1491,Misericordia,5112
350000,Used,Homes,Apartment,3,2,101,202,0,38.7622,-9.1536,Lumiar,2927
178000,Used,Homes,Apartment,2,1,56,112,0,38.7842,-9.166,Santa_Clara,2393
249000,Used,Homes,Apartment,3,2,90,180,0,38.7445,-9.1913,Benfica,2727
155000,Used,Homes,Apartment,2,1,66,132,0,38.7172,-9.1349,Santa_Maria_Maior,4807
1350000,Used,Homes,Apartment,4,2,158,316,0,38.7118,-9.1328,Santa_Maria_Maior,4807
199900,Used,Homes,Apartment,1,1,78,156,0,38.7297,-9.1337,Penha_de_Franca,2973
450000,Used,Homes,Apartment,4,2,117,234,0,38.7335,-9.1363,Arroios,3277
390000,Used,Homes,Apartment,3,1,100,200,0,38.7395,-9.1327,Arroios,3277
660000,Used,Homes,Apartment,3,3,153,306,0,38.7568,-9.0944,Parque_das_Nacoes,4162
275000,Used,Homes,Apartment,2,2,76,152,0,38.7523,-9.2049,Benfica,2727
320000,Used,Homes,Apartment,4,2,110,220,0,38.7321,-9.1284,Penha_de_Franca,2973
110000,Used,Homes,Apartment,1,1,60,120,0,38.7116,-9.1647,Estrela,4005
179000,Used,Homes,Apartment,2,1,60,120,0,38.7116,-9.1647,Estrela,4005
125000,Used,Homes,Apartment,1,1,30,60,0,38.7116,-9.1647,Estrela,4005
179000,Used,Homes,Apartment,2,1,60,120,0,38.7116,-9.1647,Estrela,4005
168000,Used,Homes,Apartment,2,1,50,100,0,38.7127,-9.1654,Estrela,4005
125000,Used,Homes,Apartment,2,1,68,136,0,38.7429,-9.1039,Marvila,2881
375000,Used,Homes,Apartment,3,1,100,200,0,38.7618,-9.1685,Lumiar,2927
190000,Used,Homes,Apartment,2,1,64,128,0,38.7096,-9.1462,Misericordia,5112
85000,Used,Homes,Apartment,1,1,29,58,0,38.7147,-9.1333,Sao_Vicente,3402
90000,Used,Homes,Apartment,1,1,29,58,0,38.7147,-9.1333,Sao_Vicente,3402
325000,Used,Homes,Apartment,4,1,110,220,0,38.7218,-9.1367,Arroios,3277
300000,Used,Homes,Apartment,4,2,109,218,0,38.7675,-9.1606,Lumiar,2927
390000,Used,Homes,Apartment,3,1,79,158,0,38.7276,-9.1661,Campolide,3036
750000,Used,Homes,Apartment,3,2,130,260,0,38.7353,-9.156,Avenidas_Novas,3841
1700000,Used,Homes,Apartment,8,6,299,598,0,38.742,-9.1469,Avenidas_Novas,3841
295000,Used,Homes,Apartment,2,1,68,136,0,38.729,-9.1373,Arroios,3277
213500,Used,Homes,Apartment,2,1,61,122,0,38.7265,-9.1177,Penha_de_Franca,2973
875000,Used,Homes,Apartment,3,3,195,390,0,38.7386,-9.1677,Campolide,3036
350000,Used,Homes,Apartment,3,1,105,210,0,38.7491,-9.142,Alvalade,3623
295000,Used,Homes,Apartment,1,1,57,114,0,38.7118,-9.1453,Misericordia,5112
850000,Used,Single_Habitation,Dwelling,5,3,190,380,0,38.7723,-9.1198,Olivais,2463
1750000,Used,Single_Habitation,Isolated_Villa,11,6,573,1146,0,38.7497,-9.1347,Alvalade,3623
1375000,New,Homes,Penthouse,3,3,230,460,0,38.7351,-9.1472,Avenidas_Novas,3841
350000,New,Homes,Apartment,1,1,38,76,0,38.7169,-9.1344,Santa_Maria_Maior,4807
255000,New,Homes,Apartment,1,1,32,64,0,38.7169,-9.1344,Santa_Maria_Maior,4807
355000,New,Homes,Apartment,1,1,48,96,0,38.7169,-9.1344,Santa_Maria_Maior,4807
295000,New,Homes,Duplex,1,1,41,82,0,38.7253,-9.1296,Penha_de_Franca,2973
778000,New,Homes,Apartment,2,2,111,222,2,38.7214,-9.1607,Campo_de_Ourique,3859
665000,New,Homes,Apartment,2,2,87,174,2,38.7214,-9.1607,Campo_de_Ourique,3859
665000,New,Homes,Apartment,2,2,87,174,2,38.7214,-9.1607,Campo_de_Ourique,3859
705000,New,Homes,Apartment,2,2,93,186,2,38.7214,-9.1607,Campo_de_Ourique,3859
627000,New,Homes,Apartment,2,2,82,164,2,38.7214,-9.1607,Campo_de_Ourique,3859
598000,New,Homes,Apartment,2,2,80,160,2,38.7214,-9.1607,Campo_de_Ourique,3859
515000,New,Homes,Apartment,2,2,69,138,2,38.7214,-9.1607,Campo_de_Ourique,3859
515000,New,Homes,Apartment,2,2,69,138,2,38.7214,-9.1607,Campo_de_Ourique,3859
349000,New,Homes,Apartment,1,1,47,94,1,38.7214,-9.1607,Campo_de_Ourique,3859
349000,New,Homes,Apartment,1,1,47,94,1,38.7214,-9.1607,Campo_de_Ourique,3859
365000,New,Homes,Apartment,1,1,48,96,1,38.7214,-9.1607,Campo_de_Ourique,3859
275000,New,Homes,Apartment,1,1,50,100,0,38.7176,-9.1527,Santo_Antonio,5340
705000,New,Homes,Apartment,2,2,93,186,2,38.7214,-9.1607,Campo_de_Ourique,3859
315000,New,Homes,Apartment,1,1,41,82,1,38.7214,-9.1607,Campo_de_Ourique,3859
